    #index           Reference          Calculated         Polynomials          Dispersion    Electrostatics (Permanent + Induced)    
        88      6.11634748e+00      6.16487069e+00      6.16487069e+00     -0.00000000e+00                          0.00000000e+00    
        89      5.73956890e+00      5.75529621e+00      5.75529621e+00     -0.00000000e+00                          0.00000000e+00    
        90      4.24415546e+00      4.27967738e+00      4.27967738e+00     -0.00000000e+00                          0.00000000e+00    
        91      4.84051235e+00      4.84945051e+00      4.84945051e+00     -0.00000000e+00                          0.00000000e+00    
        92      6.00455485e+00      5.92277865e+00      5.92277865e+00     -0.00000000e+00                          0.00000000e+00    
        93      2.67140619e+00      2.68656926e+00      2.68656926e+00     -0.00000000e+00                          0.00000000e+00    
        94      6.90788517e+00      6.96826578e+00      6.96826578e+00     -0.00000000e+00                          0.00000000e+00    
        95      2.04990192e+00      2.04964193e+00      2.04964193e+00     -0.00000000e+00                          0.00000000e+00    
        96      3.08789144e+00      3.11673063e+00      3.11673063e+00     -0.00000000e+00                          0.00000000e+00    
        97      3.57812550e+00      3.61507124e+00      3.61507124e+00     -0.00000000e+00                          0.00000000e+00    
        98      3.45245907e+00      3.42448479e+00      3.42448479e+00     -0.00000000e+00                          0.00000000e+00    
        99      3.74226071e+00      3.76404405e+00      3.76404405e+00     -0.00000000e+00                          0.00000000e+00    
       100      4.51170134e+00      4.54324029e+00      4.54324029e+00     -0.00000000e+00                          0.00000000e+00    
       101      4.40539666e+00      4.40898144e+00      4.40898144e+00     -0.00000000e+00                          0.00000000e+00    
       102      2.25557091e+00      2.28744259e+00      2.28744259e+00     -0.00000000e+00                          0.00000000e+00    
       103      3.95615967e+00      4.00221967e+00      4.00221967e+00     -0.00000000e+00                          0.00000000e+00    
       104      7.90116522e+00      7.88780642e+00      7.88780642e+00     -0.00000000e+00                          0.00000000e+00    
       105      3.85677284e+00      3.86999282e+00      3.86999282e+00     -0.00000000e+00                          0.00000000e+00    
       106      3.69505587e+00      3.65996391e+00      3.65996391e+00     -0.00000000e+00                          0.00000000e+00    
       107      4.37162391e+00      4.31505743e+00      4.31505743e+00     -0.00000000e+00                          0.00000000e+00    
       108      3.53271001e+00      3.54685729e+00      3.54685729e+00     -0.00000000e+00                          0.00000000e+00    
       109      4.35013008e+00      4.37550418e+00      4.37550418e+00     -0.00000000e+00                          0.00000000e+00    
       110      5.79636321e+00      5.80210446e+00      5.80210446e+00     -0.00000000e+00                          0.00000000e+00    
       111      4.94129037e+00      5.03060192e+00      5.03060192e+00     -0.00000000e+00                          0.00000000e+00    
       112      4.53539196e+00      4.50743472e+00      4.50743472e+00     -0.00000000e+00                          0.00000000e+00    
       113      2.45053321e+00      2.45847040e+00      2.45847040e+00     -0.00000000e+00                          0.00000000e+00    
       114      3.96173051e+00      3.98705774e+00      3.98705774e+00     -0.00000000e+00                          0.00000000e+00    
       115      4.92332748e+00      4.92020810e+00      4.92020810e+00     -0.00000000e+00                          0.00000000e+00    
       116      2.62521308e+00      2.64130423e+00      2.64130423e+00     -0.00000000e+00                          0.00000000e+00    
       117      5.54830395e+00      5.54997369e+00      5.54997369e+00     -0.00000000e+00                          0.00000000e+00    
       118      2.54661087e+00      2.56121907e+00      2.56121907e+00     -0.00000000e+00                          0.00000000e+00    
       119      3.09258729e+00      3.12690427e+00      3.12690427e+00     -0.00000000e+00                          0.00000000e+00    
       120      6.53558154e+00      6.50789595e+00      6.50789595e+00     -0.00000000e+00                          0.00000000e+00    
       121      2.68085686e+00      2.69867314e+00      2.69867314e+00     -0.00000000e+00                          0.00000000e+00    
       122      4.76272659e+00      4.77256417e+00      4.77256417e+00     -0.00000000e+00                          0.00000000e+00    
       123      3.38074660e+00      3.39893194e+00      3.39893194e+00     -0.00000000e+00                          0.00000000e+00    
       124      1.12071435e+01      1.11752003e+01      1.11752003e+01     -0.00000000e+00                          0.00000000e+00    
       125      3.75888513e+00      3.77845962e+00      3.77845962e+00     -0.00000000e+00                          0.00000000e+00    
       126      3.47962402e+00      3.52354768e+00      3.52354768e+00     -0.00000000e+00                          0.00000000e+00    
       127      3.61030582e+00      3.64114822e+00      3.64114822e+00     -0.00000000e+00                          0.00000000e+00    
       128      2.74677748e+00      2.77006520e+00      2.77006520e+00     -0.00000000e+00                          0.00000000e+00    
       129      4.60522498e+00      4.70152003e+00      4.70152003e+00     -0.00000000e+00                          0.00000000e+00    
       130      2.58178736e+00      2.58661613e+00      2.58661613e+00     -0.00000000e+00                          0.00000000e+00    
       131      6.39414712e+00      6.45693934e+00      6.45693934e+00     -0.00000000e+00                          0.00000000e+00    
       132      6.94782559e+00      6.93903286e+00      6.93903286e+00     -0.00000000e+00                          0.00000000e+00    
       133      3.20361843e+00      3.19282033e+00      3.19282033e+00     -0.00000000e+00                          0.00000000e+00    
       134      5.72837614e+00      5.67573013e+00      5.67573013e+00     -0.00000000e+00                          0.00000000e+00    
       135      3.13546990e+00      3.12373605e+00      3.12373605e+00     -0.00000000e+00                          0.00000000e+00    
       136      3.77490971e+00      3.72077522e+00      3.72077522e+00     -0.00000000e+00                          0.00000000e+00    
       137      3.93596416e+00      3.91937336e+00      3.91937336e+00     -0.00000000e+00                          0.00000000e+00    
       138      4.33600019e+00      4.34367165e+00      4.34367165e+00     -0.00000000e+00                          0.00000000e+00    
       139      4.14445650e+00      4.18460109e+00      4.18460109e+00     -0.00000000e+00                          0.00000000e+00    
       140      2.44857770e+00      2.46849047e+00      2.46849047e+00     -0.00000000e+00                          0.00000000e+00    
       141      3.08809789e+00      3.08730293e+00      3.08730293e+00     -0.00000000e+00                          0.00000000e+00    
       142      4.48965612e+00      4.51180427e+00      4.51180427e+00     -0.00000000e+00                          0.00000000e+00    
       143      3.44562010e+00      3.48368099e+00      3.48368099e+00     -0.00000000e+00                          0.00000000e+00    
       144      5.23543324e+00      5.25984241e+00      5.25984241e+00     -0.00000000e+00                          0.00000000e+00    
       145      8.28050586e+00      8.27982988e+00      8.27982988e+00     -0.00000000e+00                          0.00000000e+00    
       146      4.81800604e+00      4.84546663e+00      4.84546663e+00     -0.00000000e+00                          0.00000000e+00    
       147      6.59849232e+00      6.59749829e+00      6.59749829e+00     -0.00000000e+00                          0.00000000e+00    
       148      5.05423524e+00      5.03767659e+00      5.03767659e+00     -0.00000000e+00                          0.00000000e+00    
       149      5.85023716e+00      5.95892497e+00      5.95892497e+00     -0.00000000e+00                          0.00000000e+00    
       150      3.42750196e+00      3.41099758e+00      3.41099758e+00     -0.00000000e+00                          0.00000000e+00    
       151      7.84393510e+00      7.91781078e+00      7.91781078e+00     -0.00000000e+00                          0.00000000e+00    
       152      5.05494753e+00      5.03459614e+00      5.03459614e+00     -0.00000000e+00                          0.00000000e+00    
       153      3.99805026e+00      3.97615496e+00      3.97615496e+00     -0.00000000e+00                          0.00000000e+00    
       154      4.51414141e+00      4.58398586e+00      4.58398586e+00     -0.00000000e+00                          0.00000000e+00    
       155      4.20402447e+00      4.06905408e+00      4.06905408e+00     -0.00000000e+00                          0.00000000e+00    
       156      2.04880585e+00      2.03536853e+00      2.03536853e+00     -0.00000000e+00                          0.00000000e+00    
       157      6.49280799e+00      6.51293924e+00      6.51293924e+00     -0.00000000e+00                          0.00000000e+00    
       158      3.05697920e+00      2.97697324e+00      2.97697324e+00     -0.00000000e+00                          0.00000000e+00    
       159      2.94437488e+00      2.96807348e+00      2.96807348e+00     -0.00000000e+00                          0.00000000e+00    
       160      5.10303345e+00      5.03767229e+00      5.03767229e+00     -0.00000000e+00                          0.00000000e+00    
       161      3.65837769e+00      3.65671925e+00      3.65671925e+00     -0.00000000e+00                          0.00000000e+00    
       162      3.91933861e+00      3.94677846e+00      3.94677846e+00     -0.00000000e+00                          0.00000000e+00    
       163      5.40351956e+00      5.45913902e+00      5.45913902e+00     -0.00000000e+00                          0.00000000e+00    
       164      4.32528171e+00      4.30886676e+00      4.30886676e+00     -0.00000000e+00                          0.00000000e+00    
       165      4.33636302e+00      4.33132855e+00      4.33132855e+00     -0.00000000e+00                          0.00000000e+00    
       166      4.22782597e+00      4.26574590e+00      4.26574590e+00     -0.00000000e+00                          0.00000000e+00    
       167      3.55101508e+00      3.54422232e+00      3.54422232e+00     -0.00000000e+00                          0.00000000e+00    
       168      5.59534996e+00      5.60395175e+00      5.60395175e+00     -0.00000000e+00                          0.00000000e+00    
       169      4.53599619e+00      4.57852312e+00      4.57852312e+00     -0.00000000e+00                          0.00000000e+00    
       170      4.42374434e+00      4.46599486e+00      4.46599486e+00     -0.00000000e+00                          0.00000000e+00    
       171      3.29218688e+00      3.34064099e+00      3.34064099e+00     -0.00000000e+00                          0.00000000e+00    
       172      9.12021846e+00      9.14431597e+00      9.14431597e+00     -0.00000000e+00                          0.00000000e+00    
       173      4.19338317e+00      4.19372909e+00      4.19372909e+00     -0.00000000e+00                          0.00000000e+00    
       174      4.22183840e+00      4.20664838e+00      4.20664838e+00     -0.00000000e+00                          0.00000000e+00    
       175      2.81420940e+00      2.77923566e+00      2.77923566e+00     -0.00000000e+00                          0.00000000e+00    
       176      3.45314532e+00      3.48575567e+00      3.48575567e+00     -0.00000000e+00                          0.00000000e+00    
       177      5.08801125e+00      5.09842023e+00      5.09842023e+00     -0.00000000e+00                          0.00000000e+00    
       178      5.19238133e+00      5.21885860e+00      5.21885860e+00     -0.00000000e+00                          0.00000000e+00    
       179      4.44377288e+00      4.47874788e+00      4.47874788e+00     -0.00000000e+00                          0.00000000e+00    
       180      4.24666318e+00      4.21141867e+00      4.21141867e+00     -0.00000000e+00                          0.00000000e+00    
       181      4.56628814e+00      4.54185872e+00      4.54185872e+00     -0.00000000e+00                          0.00000000e+00    
       182      5.16063292e+00      5.18905208e+00      5.18905208e+00     -0.00000000e+00                          0.00000000e+00    
       183      2.91168703e+00      2.90279015e+00      2.90279015e+00     -0.00000000e+00                          0.00000000e+00    
       184      5.96265611e+00      5.96629004e+00      5.96629004e+00     -0.00000000e+00                          0.00000000e+00    
       185      4.20451657e+00      4.19489698e+00      4.19489698e+00     -0.00000000e+00                          0.00000000e+00    
       186      3.30687292e+00      3.34518937e+00      3.34518937e+00     -0.00000000e+00                          0.00000000e+00    
       187      2.43033048e+00      2.43297117e+00      2.43297117e+00     -0.00000000e+00                          0.00000000e+00    
       188      2.57463174e+00      2.53092256e+00      2.53092256e+00     -0.00000000e+00                          0.00000000e+00    
       189      4.08456964e+00      4.00931661e+00      4.00931661e+00     -0.00000000e+00                          0.00000000e+00    
       190      5.16561014e+00      5.21360507e+00      5.21360507e+00     -0.00000000e+00                          0.00000000e+00    
       191      2.77504848e+00      2.77359848e+00      2.77359848e+00     -0.00000000e+00                          0.00000000e+00    
       192      2.85011900e+00      2.83202773e+00      2.83202773e+00     -0.00000000e+00                          0.00000000e+00    
       193      1.78284600e+00      1.81076164e+00      1.81076164e+00     -0.00000000e+00                          0.00000000e+00    
       194      6.30315555e+00      6.25663943e+00      6.25663943e+00     -0.00000000e+00                          0.00000000e+00    
       195      3.52645210e+00      3.51090820e+00      3.51090820e+00     -0.00000000e+00                          0.00000000e+00    
       196      3.51459437e+00      3.48214462e+00      3.48214462e+00     -0.00000000e+00                          0.00000000e+00    
       197      4.60020340e+00      4.65422313e+00      4.65422313e+00     -0.00000000e+00                          0.00000000e+00    
       198      5.88211288e+00      5.88138768e+00      5.88138768e+00     -0.00000000e+00                          0.00000000e+00    
       199      2.10969453e+00      2.15149680e+00      2.15149680e+00     -0.00000000e+00                          0.00000000e+00    
       200      3.40982903e+00      3.43543495e+00      3.43543495e+00     -0.00000000e+00                          0.00000000e+00    
       201      3.25002169e+00      3.22400212e+00      3.22400212e+00     -0.00000000e+00                          0.00000000e+00    
       202      3.21252706e+00      3.19709242e+00      3.19709242e+00     -0.00000000e+00                          0.00000000e+00    
       203      3.92863322e+00      3.98005768e+00      3.98005768e+00     -0.00000000e+00                          0.00000000e+00    
       204      4.80701376e+00      4.84119843e+00      4.84119843e+00     -0.00000000e+00                          0.00000000e+00    
