#     index      Reference     Calculated        Error^2    
       231 3.68961216e+00 3.71074637e+00 4.46654931e-04    
       232 4.97714746e+00 4.97988280e+00 7.48211289e-06    
       233 4.49882215e+00 4.55587010e+00 3.25446836e-03    
       234 5.05515912e+00 5.06189064e+00 4.53133049e-05    
       235 3.11123724e+00 3.05136727e+00 3.58441346e-03    
       236 4.05997089e+00 4.02892874e+00 9.63614811e-04    
       237 2.62613257e+00 2.66525168e+00 1.53030446e-03    
       238 2.30722667e+00 2.32769381e+00 4.18903710e-04    
       239 5.41069256e+00 5.50361462e+00 8.63450827e-03    
       240 4.64275262e+00 4.62249585e+00 4.10336581e-04    
       241 3.59546691e+00 3.60491212e+00 8.92118885e-05    
       242 5.20396603e+00 5.13123630e+00 5.28961382e-03    
       243 4.07267068e+00 4.07743668e+00 2.27148183e-05    
       244 2.02396808e+00 1.99030095e+00 1.13347546e-03    
       245 4.85085377e+00 4.87889457e+00 7.86286146e-04    
       246 4.36610866e+00 4.33707567e+00 8.42914649e-04    
       247 4.69789853e+00 4.74661965e+00 2.37374791e-03    
       248 3.20689334e+00 3.22738965e+00 4.20098605e-04    
       249 4.78655834e+00 4.80256172e+00 2.56108206e-04    
       250 4.60194605e+00 4.60395203e+00 4.02393041e-06    
       251 4.37529722e+00 4.35517889e+00 4.04747198e-04    
       252 3.15814546e+00 3.19014027e+00 1.02366794e-03    
       253 3.29594729e+00 3.30606458e+00 1.02359609e-04    
       254 7.02588124e+00 7.01309266e+00 1.63547709e-04    
       255 3.06478805e+00 2.99558567e+00 4.78896908e-03    
       256 3.59361237e+00 3.55150636e+00 1.77291630e-03    
       257 4.22881210e+00 4.23207545e+00 1.06494687e-05    
       258 4.41652303e+00 4.40434982e+00 1.48186972e-04    
       259 6.84509099e+00 6.82734187e+00 3.15031334e-04    
       260 3.45866389e+00 3.38138159e+00 5.97255323e-03    
       261 6.43225144e+00 6.46775261e+00 1.26033286e-03    
       262 3.10347671e+00 3.04751061e+00 3.13220401e-03    
       263 4.84139413e+00 4.68595178e+00 2.41623249e-02    
       264 3.63556966e+00 3.62381984e+00 1.38058369e-04    
       265 4.82192552e+00 4.89376809e+00 5.16135426e-03    
       266 4.39744172e+00 4.36093212e+00 1.33295092e-03    
       267 3.83031121e+00 3.87350893e+00 1.86604349e-03    
       268 5.09892728e+00 5.11795211e+00 3.61944226e-04    
       269 4.27222923e+00 4.19774471e+00 5.54794399e-03    
       270 3.26516557e+00 3.31607941e+00 2.59221970e-03    
       271 3.24279661e+00 3.27155961e+00 8.27309745e-04    
       272 1.56981902e+00 1.58642517e+00 2.75764244e-04    
       273 5.48972437e+00 5.50585523e+00 2.60204661e-04    
       274 5.32397044e+00 5.42675913e+00 1.05655141e-02    
       275 4.40270207e+00 4.39063134e+00 1.45702502e-04    
       276 4.90121724e+00 4.89097452e+00 1.04913423e-04    
       277 6.71336508e+00 6.73391314e+00 4.22222815e-04    
       278 2.38427549e+00 2.41450939e+00 9.14089117e-04    
       279 3.30399278e+00 3.33673350e+00 1.07195476e-03    
       280 3.28483887e+00 3.23130655e+00 2.86570905e-03    
       281 4.51789668e+00 4.52305041e+00 2.65608910e-05    
       282 6.65342331e+00 6.55152371e+00 1.03835280e-02    
       283 4.52723415e+00 4.53969065e+00 1.55164531e-04    
       284 6.40296495e+00 6.36379384e+00 1.53437531e-03    
       285 5.44831841e+00 5.45642877e+00 6.57780654e-05    
       286 5.43916725e+00 5.37582070e+00 4.01278465e-03    
       287 3.09404060e+00 3.06586098e+00 7.94090540e-04    
       288 2.38516128e+00 2.40233585e+00 2.94965766e-04    
       289 1.13376331e+00 1.11398066e+00 3.91353382e-04    
       290 6.30083138e+00 6.24804504e+00 2.78639778e-03    
       291 5.84201220e+00 5.91006447e+00 4.63111054e-03    
       292 4.44991312e+00 4.46027629e+00 1.07395402e-04    
       293 4.24297053e+00 4.19756637e+00 2.06153858e-03    
       294 5.77359472e+00 5.74685056e+00 7.15249833e-04    
       295 3.37047804e+00 3.37210683e+00 2.65298624e-06    
       296 4.46199807e+00 4.44574439e+00 2.64182101e-04    
       297 6.71211540e+00 6.92067974e+00 4.34990851e-02    
       298 3.26886310e+00 3.29907164e+00 9.12555782e-04    
       299 2.60844540e+00 2.63433730e+00 6.70390291e-04    
       300 3.73214463e+00 3.74099485e+00 7.83264821e-05    
       301 3.30202284e+00 3.28300357e+00 3.61732610e-04    
       302 3.11306342e+00 3.08865011e+00 5.96009607e-04    
       303 4.95799411e+00 5.00426962e+00 2.14142242e-03    
       304 4.41984989e+00 4.41017899e+00 9.35262809e-05    
       305 3.83031616e+00 3.84958698e+00 3.71364448e-04    
       306 3.80553255e+00 3.82111150e+00 2.42703775e-04    
       307 5.07689084e+00 5.13281860e+00 3.12791446e-03    
       308 2.75383878e+00 2.76197612e+00 6.62162266e-05    
       309 5.85095748e+00 5.75796040e+00 8.64845626e-03    
       310 8.34631159e+00 8.38632847e+00 1.60135112e-03    
       311 3.81890352e+00 3.81203259e+00 4.72097655e-05    
       312 3.63247027e+00 3.65180369e+00 3.73780972e-04    
       313 2.27581618e+00 2.26871434e+00 5.04362374e-05    
       314 3.92598463e+00 3.92714199e+00 1.33948662e-06    
       315 4.90404662e+00 4.90363554e+00 1.68989870e-07    
       316 4.81016129e+00 4.78300435e+00 7.37499363e-04    
       317 5.95525972e+00 6.02594346e+00 4.99619224e-03    
       318 5.21252237e+00 5.24559806e+00 1.09400139e-03    
       319 7.66120277e+00 7.59798258e+00 3.99679165e-03    
       320 3.97045271e+00 3.91081641e+00 3.55648835e-03    
       321 1.75533309e+00 1.75915595e+00 1.46142577e-05    
       322 6.31676410e+00 6.36872436e+00 2.69986903e-03    
       323 3.40352883e+00 3.40175259e+00 3.15504080e-06    
       324 2.91371665e+00 2.92636008e+00 1.59856394e-04    
       325 3.19473008e+00 3.23710730e+00 1.79582882e-03    
       326 2.45287991e+00 2.47803665e+00 6.32862014e-04    
       327 4.27110699e+00 4.27988905e+00 7.71244699e-05    
       328 4.59392265e+00 4.63050722e+00 1.33843063e-03    
       329 3.21511259e+00 3.22856932e+00 1.81083599e-04    
       330 2.74134877e+00 2.74842432e+00 5.00633733e-05    
       331 2.82556694e+00 2.85777194e+00 1.03716182e-03    
       332 4.40361767e+00 4.43871508e+00 1.23182823e-03    
       333 1.88149933e+00 1.90276781e+00 4.52348090e-04    
       334 3.36322152e+00 3.35814986e+00 2.57217265e-05    
       335 4.87632037e+00 4.93011451e+00 2.89381034e-03    
       336 3.82531008e+00 3.83319387e+00 6.21540657e-05    
       337 2.85199093e+00 2.86878505e+00 2.82042437e-04    
       338 6.90574405e+00 6.89309428e+00 1.60016610e-04    
       339 6.15867193e+00 6.14713149e+00 1.33181836e-04    
       340 4.03730926e+00 4.04604777e+00 7.63615728e-05    
       341 3.66652176e+00 3.66843176e+00 3.64809584e-06    
       342 4.17944185e+00 4.18764337e+00 6.72649013e-05    
       343 3.63662557e+00 3.68226475e+00 2.08293451e-03    
       344 2.51840005e+00 2.52805713e+00 9.32592168e-05    
       345 3.17497903e+00 3.16037474e+00 2.13285269e-04    
       346 4.70339017e+00 4.70520713e+00 3.30131007e-06    
       347 7.41248267e+00 7.46531010e+00 2.79073722e-03    
       348 2.58112000e+00 2.57976900e+00 1.82518860e-06    
       349 4.90615060e+00 4.97289544e+00 4.45487346e-03    
       350 4.39235619e+00 4.40542770e+00 1.70864351e-04    
       351 5.17179312e+00 5.20414677e+00 1.04675870e-03    
       352 4.82237243e+00 4.78800367e+00 1.18121181e-03    
       353 1.71199076e+00 1.70386857e+00 6.59700808e-05    
       354 6.72146334e+00 6.82013117e+00 9.73534001e-03    
       355 4.91047031e+00 4.84562367e+00 4.20508718e-03    
       356 3.81633048e+00 3.83249274e+00 2.61218691e-04    
       357 4.12389233e+00 4.16937915e+00 2.06905126e-03    
       358 4.50236024e+00 4.53323497e+00 9.53249042e-04    
       359 4.77893886e+00 4.73676158e+00 1.77892352e-03    
       360 2.78215038e+00 2.80446501e+00 4.97942606e-04    
       361 5.23802523e+00 5.28240902e+00 1.96992032e-03    
       362 4.76174354e+00 4.76769503e+00 3.54202626e-05    
       363 2.66534200e+00 2.65065942e+00 2.15578053e-04    
       364 3.81057151e+00 3.82827443e+00 3.13393134e-04    
       365 2.16137088e+00 2.14193160e+00 3.77885476e-04    
       366 6.05889636e+00 6.04470974e+00 2.01260068e-04    
       367 2.90908538e+00 2.89583913e+00 1.75463229e-04    
       368 5.29222009e+00 5.27241563e+00 3.92216591e-04    
       369 4.61023759e+00 4.63922856e+00 8.40476753e-04    
       370 4.80704928e+00 4.80957743e+00 6.39152345e-06    
       371 5.73044748e+00 5.66039961e+00 4.90670412e-03    
       372 4.53548502e+00 4.61360771e+00 6.10315464e-03    
       373 3.81893741e+00 3.82041815e+00 2.19258849e-06    
       374 5.26579109e+00 5.29328496e+00 7.55913024e-04    
       375 3.51808006e+00 3.49405489e+00 5.77208876e-04    
       376 2.10947541e+00 2.05977138e+00 2.47049027e-03    
       377 4.18272793e+00 4.19331308e+00 1.12045431e-04    
       378 3.08902912e+00 3.09216824e+00 9.85406590e-06    
       379 6.00962419e+00 5.94914203e+00 3.65809180e-03    
       380 4.83670205e+00 4.84128439e+00 2.09977793e-05    
       381 3.59893234e+00 3.55985105e+00 1.52734653e-03    
       382 2.94351921e+00 2.95782322e+00 2.04604684e-04    
       383 5.23921995e+00 5.28529317e+00 2.12274141e-03    
       384 3.49892308e+00 3.51055740e+00 1.35357431e-04    
       385 5.52161509e+00 5.46715773e+00 2.96560384e-03    
       386 2.84217543e+00 2.83907654e+00 9.60310748e-06    
       387 3.60296364e+00 3.62244863e+00 3.79664769e-04    
       388 6.11874934e+00 6.21535233e+00 9.33213756e-03    
       389 2.63732841e+00 2.62222534e+00 2.28102610e-04    
       390 3.82646627e+00 3.81374058e+00 1.61943121e-04    
       391 3.00387232e+00 3.03259120e+00 8.24774052e-04    
       392 3.82965671e+00 3.86514073e+00 1.25911565e-03    
       393 2.87942602e+00 2.87283622e+00 4.34255044e-05    
       394 4.80679985e+00 4.83463664e+00 7.74886957e-04    
       395 2.85431171e+00 2.85870341e+00 1.92870270e-05    
       396 3.73531443e+00 3.74323680e+00 6.27639132e-05    
       397 3.70371468e+00 3.72606340e+00 4.99465119e-04    
       398 2.56847192e+00 2.58077742e+00 1.51425248e-04    
       399 7.32851808e+00 7.00622553e+00 1.03872490e-01    
       400 6.56854876e+00 6.65278705e+00 7.09608897e-03    
       401 4.83200094e+00 4.83562633e+00 1.31434484e-05    
       402 2.49359994e+00 2.47841689e+00 2.30524892e-04    
       403 5.71274845e+00 5.72027707e+00 5.66801706e-05    
       404 4.05196594e+00 4.07809110e+00 6.82523919e-04    
       405 4.47147491e+00 4.48000624e+00 7.27836581e-05    
       406 4.68572183e+00 4.72127395e+00 1.26395333e-03    
       407 5.51607657e+00 5.53484905e+00 3.52406140e-04    
       408 4.42282184e+00 4.38668346e+00 1.30598285e-03    
       409 5.94743354e+00 5.97208436e+00 6.07662701e-04    
       410 3.75655487e+00 3.71446334e+00 1.77169724e-03    
       411 3.33117235e+00 3.33023483e+00 8.78935409e-07    
       412 5.81767839e+00 5.79539819e+00 4.96407314e-04    
       413 5.73290029e+00 5.68411270e+00 2.38022900e-03    
       414 4.62824736e+00 4.63689556e+00 7.47913877e-05    
       415 4.29264362e+00 4.28741648e+00 2.73230406e-05    
       416 4.72589875e+00 4.73758028e+00 1.36458051e-04    
       417 2.84883393e+00 2.84589671e+00 8.62726686e-06    
       418 1.06569297e+00 1.05963592e+00 3.66878190e-05    
       419 5.94553131e+00 6.08231158e+00 1.87088425e-02    
       420 5.85576702e+00 5.95334779e+00 9.52200587e-03    
       421 3.19493044e+00 3.16170235e+00 1.10410605e-03    
       422 5.98928962e+00 5.98958840e+00 8.92710615e-08    
       423 4.87315891e+00 4.85196297e+00 4.49267708e-04    
       424 4.93767636e+00 4.91767704e+00 3.99972935e-04    
       425 4.08267964e+00 4.11076733e+00 7.88918564e-04    
       426 4.21113259e+00 4.27092678e+00 3.57534551e-03    
       427 2.86992138e+00 2.92296606e+00 2.81373737e-03    
       428 4.86594606e+00 4.89661942e+00 9.40854743e-04    
